CI,132,i | 1 | 3,,0.99,+1.01,"3,504,400","3,538","1,056",,0.76,,,0,0.14,-15.85,-21.43,,29.40,,,,,
CIG,133,i | 1 | 2 | 3,,0.81,-2.41,"37,798,100","31,258",700,,2.19,,,0,-7.74,-25.86,-6.99,,63.74,,,,,
CIMBT,134,i | 1 | 3,,1.02,-1.92,"13,674,100","13,950","35,519",41.33,0.85,,0.01,0.02,0.68,2.06,13.11,0.48,5.17,,978,"1,038",0.01,
CITY,135,i | 1 | 3,,2.64,0.00,"301,400",792,792,,0.60,,,0,-1.67,-1.53,-5.05,,26.68,,,,,
CK,136,i | 1 | 2 | 3,,20.1,+1.01,"7,367,900","147,074","34,047",28.05,1.29,,0.20,0.72,3.06,4.59,7.2,1.01,65.12,,819,846,-12.18,
CKP,137,i | 1 | 2 | 3,,5.4,-2.70,"26,490,200","144,594","43,899",26.44,1.84,,0.04,0.2,4.47,7.15,25.36,0.63,24.22,,724,776,0.26,
CM,138,i | 1 | 2 | 3,,2.9,0.00,"91,000",265,"1,105",,0.82,,,0,-1.25,-1.19,-1.44,,36.95,,,,,
CMAN,139,i | 1 | 2 | 3,,2.62,-1.50,"1,803,400","4,735","2,515",,1.17,,,0,0.94,-0.56,7.14,,41.38,,,,,
CMC,140,i | 1 | 3,,1.37,-2.14,"8,864,700","12,171","1,409",10.13,0.52,,,0.14,3.86,5.25,10.74,0.23,35.23,,540,556,-0.11,
CMO,141,i | 1 | 2 | 3,,1.47,+0.68,"651,300",958,376,,0.88,,,0,-7.74,-21.02,-28.24,,57.91,,,,,
CMR,142,i | 1 | 2 | 3,,3.5,-1.13,"1,376,900","4,829","14,081",66.69,4.02,,0.05,0.05,3.63,6.06,7.16,1.47,15.09,,920,971,-3.27,
CNT,143,i | 1 | 3,,2,-0.99,"277,100",554,"2,056",36.24,1.00,,0.05,0.06,1.52,2.75,0.64,2.48,27.53,,934,976,-0.75,
COLOR,144,i | 1 | 2 | 3,,2.3,-1.71,"8,345,100","19,326","1,355",20.68,1.73,,0.05,0.11,5.87,8.58,6.52,2.14,42.65,,622,644,-36.44,
COM7,145,i | 1 | 2 | 3,,71.25,+0.71,"4,611,500","328,749","85,500",41.09,22.48,,1.00,1.73,25.05,61.83,4.9,1.41,45.71,,455,467,0.89,
COMAN,146,i | 1 | 2 | 3,,5.1,-2.86,"378,200","1,953",683,,1.67,,,0,2.49,-0.22,-15.33,,46.83,,,,,
COTTO,147,i | 1 | 3,,2.62,-0.76,"8,798,600","23,108","15,622",25.27,1.74,,0.03,0.1,6.75,7.04,6.44,1.10,15.10,,716,641,0.02,
CPALL,148,i | 1 | 2 | 3,,65,+1.17,"29,510,000","1,891,504","583,902",47.25,6.22,,0.90,1.38,5.5,13.7,1.84,1.40,57.50,,677,855,3.56,
CPF,149,i | 1 | 2 | 3,,26.25,0.00,"37,797,100","991,507","226,045",8.64,1.05,,0.40,3.04,8.7,12.97,5.63,3.82,45.49,,287,303,0.6,
CPH,150,i | 1 | 3,,3.92,0.00,"1,300",5,157,,0.25,,,0,-0.77,-6.77,-4.76,,46.05,,,,,
CPI,151,i | 1 | 2 | 3,,4.36,+1.40,"178,476,000","826,041","2,759",7.89,1.33,,0.11,0.55,9.16,18.09,6.54,2.56,55.34,,183,278,-0.02,
CPL,152,i | 1 | 2 | 3,,2.06,-1.90,"251,400",519,906,16.46,0.92,,0.02,0.13,3.46,5.69,6.83,0.95,28.69,,653,700,-0.04,
CPN,153,i | 1 | 2 | 3,,52,-3.70,"22,908,200","1,201,099","233,376",24.22,3.27,,0.70,2.15,6.19,14.21,30.88,1.30,62.75,,512,659,1.88,
CPR,154,i | 1 | 3,,4.38,-1.79,"190,800",847,872,14.80,1.55,,0.08,0.3,11.63,10.91,15.85,1.79,18.22,,472,345,1.95,
CPT,155,i | 1 | 2 | 3,,0.97,-1.02,"14,124,000","13,867",873,,0.91,,0.02,0,-0.81,-0.69,-6.58,2.04,45.70,,,,,
CPW,156,i | 1 | 3,,3.96,0.00,"1,589,900","6,262","2,376",32.13,3.50,,0.08,0.12,8.45,11.11,1.61,2.02,31.55,,677,651,,
CRANE,157,i | 1 | 2 | 3,,1.54,-1.91,"4,013,900","6,242","1,168",,1.09,,,0,-0.06,-5.91,-11.97,,58.93,,,,,
CRC,158,i | 1 | 3,,33.25,-1.48,"15,819,700","526,494","200,531",109.96,3.71,,0.40,0.3,1.8,3.26,0.03,1.19,53.11,,"1,021","1,067",,
CRD,159,i | 1 | 2 | 3,,1.07,-4.46,"6,317,200","6,942",535,,1.51,,,0,-2.75,-6.91,2.11,,25.89,,,,,
CSC,160,i | 1 | 3,,49.25,0.00,"3,000",148,"2,561",10.23,0.71,0.22,2.45,4.81,6.99,7.02,8.05,4.97,38.07,,492,402,1.19,
CSP,161,i | 1 | 2 | 3,,3.02,-0.66,"9,186,000","28,325","1,498",4.46,1.85,2.56,0.10,0.68,19.64,52.55,17.02,,19.70,,15,50,0.05,
CSR,162,i | 1 | 2 | 3,,61,0.00,0,0,"1,251",57.60,1.15,0.12,0.69,1.06,2.03,1.83,22.72,1.13,21.08,,"1,025","1,031",-3.5,
CSS,163,i | 1 | 2 | 3,,2.02,-3.81,"14,078,600","28,656","2,375",28.53,1.43,,0.03,0.07,3.38,5.06,2.94,2.86,70.77,,818,845,-1.41,
